scenario;region;crop;water;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
Reference;USA;CornC4;RFD;231.8561578;254.1186592;265.9604634;258.4353126;269.5831266;268.9973381;265.7601149;263.2302333;271.6557535;291.2473717;308.5331116;thous km2
Reference;USA;FiberCrop;IRR;17.604681;19.9015756;14.3819842;13.168315;13.54826502;13.91818287;14.25964014;14.58544315;14.72224137;14.73368855;14.76838882;thous km2
Reference;USA;FiberCrop;RFD;27.8683758;30.3482246;21.9313536;20.130413;20.70475271;21.30103895;21.83466887;22.37059724;22.61250757;22.66367485;22.76642063;thous km2
Reference;USA;FodderGrass;IRR;11.2346934;12.367529;11.3245872;10.8781942;11.58998306;12.34390971;13.07379547;13.76772969;14.51723744;15.2950944;16.02066935;thous km2
Reference;USA;FodderGrass;RFD;71.5152254;75.4794048;68.5079542;64.6165304;68.33610919;72.49874106;76.67066459;80.63442678;84.31083857;87.6774697;90.83579001;thous km2
Reference;USA;FodderHerb;IRR;28.1880774;28.042764;19.9060066;18.826517;19.80870781;21.32714265;22.36925977;24.08266486;25.43199827;26.45601396;27.32629793;thous km2
Reference;USA;FodderHerb;RFD;78.4716102;71.8968614;50.026166;46.073474;48.02636571;51.60353744;54.21667642;58.44287859;61.1541215;62.59917941;63.85646913;thous km2
Reference;USA;FodderHerbC4;IRR;5.896718;5.5410672;5.1164116;5.1633892;5.600470971;6.29196378;6.786516665;7.476238463;8.090670575;8.620518448;9.142685452;thous km2
Reference;USA;FodderHerbC4;RFD;22.8954824;20.6641146;18.7133852;18.349543;19.91092118;22.4335401;24.35747964;26.82047342;28.7584342;30.16405952;31.59122545;thous km2
Reference;USA;Forest;NA;1207.260397;1100.351516;911.7397547;969.3333784;1010.279314;1054.425029;1098.84668;1138.330585;1177.067112;1211.901002;1246.730468;thous km2
Reference;USA;Fruits;IRR;3.8367402;4.1777706;4.211719;4.4378066;4.401100235;4.368523401;4.326795616;4.379148179;4.431064143;4.469131302;4.48161055;thous km2
Reference;USA;Fruits;RFD;1.2550464;1.3331272;1.3360088;1.3763394;1.36535292;1.364797466;1.369628459;1.405326292;1.431696125;1.446610549;1.466231982;thous km2
Reference;USA;FruitsTree;IRR;6.935516;6.6317252;5.9771248;5.576268;5.610071399;5.644931071;5.686054166;5.826150587;5.959058252;6.065916171;6.165563865;thous km2
Reference;USA;FruitsTree;RFD;1.0655972;1.004288;0.8961264;0.8174634;0.805491129;0.793581893;0.788744777;0.802464024;0.810018931;0.809254069;0.812726393;thous km2
Reference;USA;Grassland;NA;581.49278;666.5078;663.84851;680.43969;671.7596289;659.291269;649.6958049;639.395338;626.918406;612.4853947;599.9306965;thous km2
Reference;USA;Legumes;IRR;2.1829076;2.765777;3.0619488;3.3523522;3.558463014;3.806978821;4.027493796;4.244528544;4.416758319;4.552986804;4.668377946;thous km2
