scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;AR;coal_base_conv pul 1981-1985;0;0;0;3.50E-02;0.03494032;0.03494281;0.01608845;0.001283406;1.13E-04;4.03E-06;5.47E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_base_conv pul 2006-2010;0;0;0;0.01244446;0.01241632;0.01241784;0.005718805;4.57E-04;4.03E-05;1.47E-06;2.18E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_base_conv pul 2011-2015;0;0;0;0.01001746;0.00999482;0.00999604;0.004603482;3.68E-04;3.24E-05;1.19E-06;1.76E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_base_conv pul_CCS;0;0;0;0;0;0;0.001147935;0.003110368;0.00463909;0.005258751;0.004860257;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AR;coal_int_IGCC_CCS;0;0;0;0;0;0.00E+00;8.12E-05;2.75E-04;5.72E-04;1.33E-03;0.002264903;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul;0.0397049;0.04081946;0.04622685;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul 1976-1980;0;0;0;0.002104797;0.002103934;0.002103521;0.001161622;2.79E-04;6.00E-05;4.07E-06;6.64E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul 1981-1985;0.00E+00;0.00E+00;0.00E+00;5.17E-03;0.005164924;0.005164528;0.002853544;6.86E-04;1.49E-04;1.06E-05;2.04E-06;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul 2006-2010;0;0;0;0.001836059;0.001835395;0.001835355;0.001014324;2.44E-04;5.34E-05;3.87E-06;8.15E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul 2011-2015;0;0;0;0.001477977;0.001477444;0.001477406;8.17E-04;1.97E-04;4.30E-05;3.11E-06;6.56E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_int_conv pul_CCS;0;0;0;0;0;0;9.44E-05;3.06E-04;6.10E-04;0.001345892;0.002201809;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AR;coal_peak_conv pul;3.13E-04;0;0.00E+00;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;coal_subpeak_conv pul;0.002324436;0;0;0;0;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;EJ;coal;no CCS;c coal;Southeast
CO2B;AR;gas_base_CC;0;0;0.00664624;0.00241832;0.01137915;0.01689096;0.02208514;0.021229871;0.011599001;0.002458685;0.001131573;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AR;gas_base_CC_CCS;0;0.00E+00;0;0;0;0;0.00479047;0.01368302;0.02283198;0.03485361;0.04731596;EJ;gas;w/ CCS;b natural gas;Southeast
CO2B;AR;gas_int_CC;6.61E-03;1.41E-02;2.98E-02;4.44E-02;0.0464749;0.04795328;0.04214896;0.03713839;0.03013604;0.01397004;0.006389368;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AR;gas_int_CC_CCS;0;0;0;0;0;0;9.56E-04;0.003017221;0.006154044;0.014838504;0.026229635;EJ;gas;w/ CCS;b natural gas;Southeast
