scenario;region;sector;subsector;output;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin;region_id;subRegion;basin_name
CO2B;USA;Corn;CornC4_UsaCstNE;Corn;CornC4_UsaCstNE_RFD_hi;0.0473317;0.0714602;0.0765516;0.0872437;0.096421;0.0980161;0.0974742;0.121627;0.136015;0.156718;0.169578;Mt;UsaCstNE;232;New_England;New England Basin
CO2B;USA;Corn;CornC4_UsaCstNE;Corn;CornC4_UsaCstNE_RFD_lo;0.0315544;0.0476401;0.0510344;0.0581624;0.0614187;0.0611383;0.0591604;0.0623939;0.0628135;0.0620411;0.0623571;Mt;UsaCstNE;232;New_England;New England Basin
CO2B;USA;Corn;CornC4_UsaCstSE;Corn;CornC4_UsaCstSE_IRR_hi;0.376391;0.568265;0.608752;0.693778;0.750365;0.757124;0.757869;0.9672;1.09974;1.28185;1.37678;Mt;UsaCstSE;226;South_Atlantic_Gulf;South Atlantic Gulf Basin
CO2B;USA;Corn;CornC4_UsaCstSE;Corn;CornC4_UsaCstSE_IRR_lo;0.250927;0.378844;0.405835;0.462519;0.482858;0.482235;0.476594;0.520004;0.536843;0.543715;0.54809;Mt;UsaCstSE;226;South_Atlantic_Gulf;South Atlantic Gulf Basin
CO2B;USA;Corn;CornC4_UsaCstSE;Corn;CornC4_UsaCstSE_RFD_hi;1.71908;2.59543;2.78034;3.16868;3.5164;3.63782;3.73416;4.83255;5.56279;6.57521;7.12917;Mt;UsaCstSE;226;South_Atlantic_Gulf;South Atlantic Gulf Basin
CO2B;USA;Corn;CornC4_UsaCstSE;Corn;CornC4_UsaCstSE_RFD_lo;1.14605;1.73028;1.85356;2.11245;2.23955;2.26954;2.27692;2.49282;2.58208;2.62002;2.64303;Mt;UsaCstSE;226;South_Atlantic_Gulf;South Atlantic Gulf Basin
CO2B;USA;Corn;CornC4_UsaPacNW;Corn;CornC4_UsaPacNW_IRR_hi;0.607922;0.917826;0.983219;1.12055;1.20908;1.21214;1.21432;1.55368;1.76132;2.08777;2.25844;Mt;UsaPacNW;229;Pacific_Northwest;Pacific Northwest Basin
CO2B;USA;Corn;CornC4_UsaPacNW;Corn;CornC4_UsaPacNW_IRR_lo;0.405281;0.611884;0.655479;0.747031;0.7782;0.771996;0.761225;0.832327;0.857138;0.881994;0.894428;Mt;UsaPacNW;229;Pacific_Northwest;Pacific Northwest Basin
CO2B;USA;Corn;CornC4_UsaPacNW;Corn;CornC4_UsaPacNW_RFD_hi;0.224331;0.33869;0.362821;0.413497;0.45785;0.470607;0.483242;0.626873;0.719142;0.863433;0.943085;Mt;UsaPacNW;229;Pacific_Northwest;Pacific Northwest Basin
CO2B;USA;Corn;CornC4_UsaPacNW;Corn;CornC4_UsaPacNW_RFD_lo;0.149554;0.225793;0.24188;0.275665;0.291629;0.293555;0.293613;0.321957;0.332438;0.342231;0.347331;Mt;UsaPacNW;229;Pacific_Northwest;Pacific Northwest Basin
CO2B;USA;FiberCrop;FiberCrop_ArkWhtRedR;FiberCrop;FiberCrop_ArkWhtRedR_IRR_hi;0.177113;0.231275;0.165845;0.173711;0.184414;0.195766;0.205425;0.212634;0.226001;0.239878;0.239449;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;FiberCrop;FiberCrop_ArkWhtRedR;FiberCrop;FiberCrop_ArkWhtRedR_IRR_lo;0.118075;0.154183;0.110564;0.115807;0.119457;0.12263;0.124596;0.123464;0.124607;0.123453;0.122628;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;FiberCrop;FiberCrop_ArkWhtRedR;FiberCrop;FiberCrop_ArkWhtRedR_RFD_hi;0.122052;0.159376;0.114287;0.119708;0.127338;0.135778;0.143442;0.149653;0.160549;0.172507;0.174584;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;FiberCrop;FiberCrop_ArkWhtRedR;FiberCrop;FiberCrop_ArkWhtRedR_RFD_lo;0.0813681;0.106251;0.0761916;0.0798053;0.0823627;0.0846363;0.0861728;0.0855518;0.0864902;0.0858708;0.0853558;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;FiberCrop;FiberCrop_California;FiberCrop;FiberCrop_California_IRR_hi;0.617999;0.806987;0.578683;0.606129;0.632483;0.65701;0.674822;0.685727;0.716878;0.760455;0.729945;Mt;California;217;California_River;California River
CO2B;USA;FiberCrop;FiberCrop_California;FiberCrop;FiberCrop_California_IRR_lo;0.411999;0.537991;0.385789;0.404086;0.411206;0.414753;0.414407;0.406329;0.407219;0.407818;0.397803;Mt;California;217;California_River;California River
CO2B;USA;FiberCrop;FiberCrop_California;FiberCrop;FiberCrop_California_RFD_hi;0.0808587;0.105586;0.0757146;0.0793056;0.0833305;0.0874032;0.0908928;0.0939636;0.1002;0.108819;0.108538;Mt;California;217;California_River;California River
CO2B;USA;FiberCrop;FiberCrop_California;FiberCrop;FiberCrop_California_RFD_lo;0.0539058;0.0703905;0.0504764;0.0528704;0.0538982;0.0544822;0.0546038;0.0537158;0.0539796;0.0541678;0.0530653;Mt;California;217;California_River;California River
CO2B;USA;FiberCrop;FiberCrop_MexCstNW;FiberCrop;FiberCrop_MexCstNW_IRR_hi;0.000729;0.000952;0.0006827;0.000715;0.000732335;0.000763448;0.000793674;0.000837227;0.000907328;0.000987165;0.00100316;Mt;MexCstNW;96;Mexico_Northwest_Coast;Mexico Northwest Coast
CO2B;USA;FiberCrop;FiberCrop_MexCstNW;FiberCrop;FiberCrop_MexCstNW_IRR_lo;0.000486;0.0006347;0.0004551;0.0004767;0.000486202;0.000500033;0.0005099;0.00051622;0.000530271;0.000536696;0.000540784;Mt;MexCstNW;96;Mexico_Northwest_Coast;Mexico Northwest Coast
CO2B;USA;FiberCrop;FiberCrop_MexCstNW;FiberCrop;FiberCrop_MexCstNW_RFD_hi;0.0004032;0.0005265;0.0003776;0.0003955;0.000419657;0.000451036;0.000479909;0.000511007;0.00055654;0.000609319;0.000624946;Mt;MexCstNW;96;Mexico_Northwest_Coast;Mexico Northwest Coast
CO2B;USA;FiberCrop;FiberCrop_MexCstNW;FiberCrop;FiberCrop_MexCstNW_RFD_lo;0.0002688;0.000351;0.0002517;0.0002637;0.000271471;0.00028119;0.000288349;0.000292174;0.000299871;0.000303368;0.000305605;Mt;MexCstNW;96;Mexico_Northwest_Coast;Mexico Northwest Coast
CO2B;USA;FiberCrop;FiberCrop_MissouriR;FiberCrop;FiberCrop_MissouriR_IRR_hi;0.0000005;0.0000006;0.0000005;0.0000005;5.29064E-07;5.67241E-07;6.03054E-07;6.26962E-07;6.67059E-07;6.92613E-07;6.97453E-07;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;FiberCrop;FiberCrop_MissouriR;FiberCrop;FiberCrop_MissouriR_IRR_lo;0.0000003;0.0000004;0.0000003;0.0000003;3.06596E-07;3.15073E-07;3.20413E-07;3.14163E-07;3.12279E-07;2.96936E-07;2.94943E-07;Mt;MissouriR;223;Missouri_River;Missouri River
CO2B;USA;FiberCrop;FiberCrop_MissouriR;FiberCrop;FiberCrop_MissouriR_RFD_hi;0.0000602;0.0000786;0.0000564;0.000059;6.24185E-05;0.000066905;7.10243E-05;7.37524E-05;7.85236E-05;8.18836E-05;8.29431E-05;Mt;MissouriR;223;Missouri_River;Missouri River
