scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;PA;solar;0;0;6.83996E-05;0.000246894;0.019070598;0.034630277;0.086500658;0.141411936;0.201034361;0.311860961;0.404518214;EJ
CO2B;RI;nuclear;0;0;0;0;0;1.62516E-06;2.33948E-05;5.42792E-05;0.000117406;0.000282829;0.000574523;EJ
CO2B;RI;hydro;0.0000336;0.0000246;0.0000135;0.0000114;0.0000133;0.0000133;0.0000133;0.0000133;0.0000132;0.0000131;0.0000132;EJ
CO2B;RI;wind;0;0;0.0000111;1.12998E-05;9.91094E-05;0.000339836;0.001167841;0.00220745;0.00283226;0.004424646;0.006881641;EJ
CO2B;RI;solar;0;0;0;6.78996E-05;0.000501815;0.001677301;0.005090898;0.00808763;0.01157995;0.017444217;0.022041754;EJ
CO2B;SC;nuclear;0.1636428;0.198327;0.1945678;0.1993043;0.1944741;0.185900027;0.178245359;0.163692682;0.138891937;0.143195574;0.170334476;EJ
CO2B;SC;hydro;0.0111848;0.010782;0.0086778;0.0093491;0.0109169;0.0109002;0.0108883;0.0108899;0.0108655;0.0107744;0.0107864;EJ
CO2B;SC;wind;0;0;0;0;0.004730407;0.008198266;0.021219364;0.045920618;0.068231967;0.097304487;0.129627209;EJ
CO2B;SC;solar;0;0;0;1.97994E-05;0.006233206;0.0131796;0.03681993;0.063335052;0.088692613;0.132683191;0.175529708;EJ
CO2B;SD;nuclear;0;0;0;0;0;2.7923E-06;2.76833E-05;6.84927E-05;0.000136976;0.000337652;0.000642989;EJ
