scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;New England grid;ME;0.0323918;0.0275363;0.0228725;0.0247983;0.0218652;0.0230057;0.0273424;0.0331306;0.0397098;0.0484754;0.0716149;EJ
CO2B;New England grid;ME;0.00917269;0.0212265;0.0169001;0.00902977;0.00790738;0.00911145;0.0118226;0.0133307;0.0147628;0.0195023;0.0253141;EJ
CO2B;New England grid;ME;0.000148902;0.000323342;0.000222799;8.92998E-05;7.79287E-05;8.14764E-05;8.96844E-05;9.76903E-05;0.000107447;0.000127359;0.000154423;EJ
CO2B;New England grid;ME;0.000870521;0.0020466;0.00160389;0.000527597;0.000452828;0.000478858;0.000540683;0.000598987;0.000669717;0.000908819;0.00110026;EJ
CO2B;New England grid;NH;0.0331293;0.0642323;0.0639579;0.0553214;0.0552976;0.0643472;0.0836063;0.107976;0.126123;0.150338;0.149003;EJ
CO2B;New England grid;NH;0.0110844;0.020597;0.0160592;0.0160177;0.0143868;0.0160931;0.0196897;0.0221459;0.0249185;0.0308125;0.0376039;EJ
CO2B;New England grid;NH;0.000167202;0.000303139;0.000212899;0.0002134;0.000188062;0.000199401;0.000224953;0.000247026;0.000272955;0.000323743;0.000389655;EJ
CO2B;New England grid;NH;0.000970623;0.0020936;0.00153229;0.00126049;0.00108778;0.00116983;0.00135882;0.00151974;0.00170865;0.00231625;0.00279087;EJ
CO2B;New England grid;RI;0.000228304;0.00662524;0.00615821;0.00814359;0.00578507;0.00561313;0.00548414;0.00503155;0.0049033;0.00667168;0.0103153;EJ
CO2B;New England grid;RI;0.00332547;0.010784;0.0177999;0.014963;0.013462;0.0140209;0.0153885;0.0166526;0.0181701;0.0206239;0.0242081;EJ
CO2B;New England grid;RI;1.48002E-05;0.000283337;0.000304399;0.000249499;0.000222536;0.000239951;0.000279124;0.000310754;0.000347321;0.000416289;0.000501028;EJ
CO2B;New England grid;RI;0.000373809;0.0014827;0.00219059;0.00154189;0.00134888;0.00147175;0.00175074;0.00197585;0.00223662;0.00296971;0.003581;EJ
CO2B;New England grid;VT;0.0184985;0.0203442;0.0235901;0.00613377;0.0063046;0.00652558;0.00739205;0.00823865;0.00921599;0.00991598;0.0129075;EJ
CO2B;New England grid;VT;0.000329807;0.000757804;0.000812402;0.000781389;0.00127982;0.00263332;0.00499597;0.00702149;0.0094747;0.0134344;0.0164925;EJ
CO2B;New England grid;VT;3.00003E-07;1.00013E-07;2.99999E-07;9.99998E-08;9.25159E-08;9.86059E-08;1.11622E-07;1.16604E-07;1.22737E-07;1.36919E-07;1.62038E-07;EJ
CO2B;New England grid;VT;2.33006E-05;0.0000035;2.09999E-06;0.000227699;0.0002338;0.000248826;0.000274506;0.000291424;0.000311387;0.000131141;0.000157859;EJ
CO2B;New England grid;electricity;0.384684;0.46262;0.441898;0.386539;0.346514;0.376115;0.443263;0.496971;0.558998;0.674117;0.812694;EJ
CO2B;New York grid;NY;0.303311;0.353485;0.327878;0.330518;0.334075;0.357521;0.415205;0.462878;0.509817;0.619954;0.753845;EJ
CO2B;New York grid;NY;0.159286;0.185635;0.172187;0.173574;0.175442;0.187754;0.218048;0.243083;0.267734;0.325573;0.395887;EJ
CO2B;New York grid;NY;0.00241187;0.00281084;0.00260722;0.00262822;0.0026565;0.00284293;0.00330163;0.00368072;0.00405397;0.00492975;0.00599443;EJ
CO2B;New York grid;NY;0.0173655;0.0202381;0.018772;0.0189232;0.0191268;0.0204691;0.0237717;0.0265012;0.0291886;0.0354942;0.0431599;EJ
