scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AL;comm office;electricity;0.0029972;0.0044061;0.0078048;0.00554877;0.00532618;0.00565248;0.00598994;0.00627649;0.00657276;0.00682105;0.00706404;EJ;buildings
CO2B;AL;comm other;electricity;0.0020787;0.0097502;0.0118339;0.0150877;0.0167776;0.0172926;0.0173025;0.0167137;0.0174218;0.0202477;0.022613;EJ;buildings
CO2B;AL;comm other;gas;0.0011603;7.78E-04;5.71E-04;0.003663;0.00325547;0.00327454;0.00314425;0.00273457;0.00246427;0.0019786;0.00162298;EJ;buildings
CO2B;AL;comm other;refined liquids;0.0014214;0.0013871;0.0027614;0.0038463;0.00349735;0.0040917;0.00547774;0.00752844;0.00815784;0.00671815;0.00559541;EJ;buildings
CO2B;AL;comm refrigeration;electricity;9.53E-04;0.010086;0.0120648;0.00802641;0.007898559;0.007913464;0.007966607;0.007877033;0.008186528;0.008448987;0.008705039;EJ;buildings
CO2B;AL;comm ventilation;electricity;0.002146956;0.009541889;0.010821711;0.010126022;0.010537223;0.011023564;0.011395433;0.011693054;0.011901727;0.012015907;0.01172242;EJ;buildings
CO2B;AL;other industrial energy use;biomass;0.0995516;0.1686324;0.1325265;0.1386967;0.1501318;0.15987662;0.18092453;0.17648093;0.17212444;0.124028696;0.046234719;EJ;industry
CO2B;AL;other industrial energy use;coal;0.1271035;0.0716532;0.057142;0.0547195;0.058965728;0.062084868;0.063000205;0.060101995;0.053868435;0.020438291;0.004941274;EJ;industry
CO2B;AL;other industrial energy use;electricity;0.0971629;0.126688;0.113636;0.113165;0.102841;0.1151373;0.113793;0.1268203;0.1443192;0.2163572;0.3448412;EJ;industry
CO2B;AL;other industrial energy use;gas;0.1290504;0.1433137;0.1359357;0.1734477;0.18744265;0.196809385;0.205396898;0.199820417;0.195982447;0.18710334;0.138453034;EJ;industry
CO2B;AL;other industrial energy use;hydrogen;0;0;0;0;0;1.17E-05;6.94E-05;5.73E-05;6.38E-05;7.36E-04;0.00235297;EJ;industry
CO2B;AL;other industrial energy use;refined liquids;0.0207433;0.0239498;0.0162212;0.0108549;0.01102809;0.011441618;0.011418043;0.011909245;0.011554308;0.00946831;0.006058507;EJ;industry
CO2B;AL;other industrial feedstocks;refined liquids;0.0555626;0.103745;0.0500912;0.0535924;0.0555177;0.0596167;0.0625882;0.0630164;0.063812;0.0646239;0.06766;EJ;industry
CO2B;AL;process heat cement;biomass;8.05E-05;1.15E-04;7.46E-05;7.46E-05;9.30E-05;1.09E-04;8.11E-05;1.05E-04;1.18E-04;1.05E-04;9.25E-05;EJ;industry
CO2B;AL;process heat cement;coal;0.00530984;0.00758335;0.00492119;0.00492119;0.00613286;0.00698473;0.005163704;0.004583825;0.002648997;0.00128403;6.08E-04;EJ;industry
CO2B;AL;process heat cement;gas;2.41E-04;3.45E-04;2.24E-04;2.24E-04;2.72E-04;2.99E-04;2.20E-04;2.19E-04;2.08E-04;1.85E-04;1.72E-04;EJ;industry
CO2B;AL;process heat cement;hydrogen;0;0;0;0;0;5.30E-07;3.87E-07;1.34E-05;1.04E-04;2.66E-04;4.79E-04;EJ;industry
CO2B;AL;process heat cement;refined liquids;0.00241356;0.00344697;0.00223691;0.00223691;0.001876072;0.001842769;0.00212153;0.002647739;0.004412177;0.005211613;0.005661566;EJ;industry
CO2B;AL;resid clothes dryers;electricity;0.0031365;0.0052069;0.0045217;0.0035324;0.003687716;0.003893452;0.004066329;0.004184486;0.004471908;0.004767578;0.005117778;EJ;buildings
CO2B;AL;resid clothes dryers;gas;5.33E-04;5.56E-04;3.52E-04;4.91E-04;5.04E-04;5.20E-04;5.26E-04;4.95E-04;4.78E-04;4.16E-04;3.31E-04;EJ;buildings
